year,GEOID10,statefp,state_place,tract,state,county,POP,NHWHITE,NHBLACK,NATIVE,ASIAN,HISPANIC,NONWHITE,NHWHITE_PR,NHBLACK_PR,NATIVE_PR,ASIAN_PR,HISPANIC_PR,OTHER_PR,entropy,divergence
2000-01-31,06075032602,06,0667000,Census Tract 326.02,CA,San Francisco County,4213.999968,1647.402222,61.21440887,19.5886116,2268.85083,173.3592072,2523.01305767,0.3909355089012663,0.014526437905753682,0.004648460310572076,0.5384078897078909,0.0411388724528818,0.01034283072163511,0.9182274732367742,0.6987174113906982
2000-01-31,06075032601,06,0667000,Census Tract 326.01,CA,San Francisco County,4391.000032,1716.597778,63.78559113,20.4113884,2364.14917,180.6407928,2628.98694233,0.3909354965816589,0.014526438320463214,0.004648460089102546,0.5384079145458772,0.04113887303201004,0.010342817430888052,0.9182274661667406,0.6987174628095073
2000-01-31,06075031301,06,0667000,Census Tract 313.01,CA,San Francisco County,3616.999911,573.3568726,1068.208008,14.99548817,1615.102295,322.8440247,3021.1498158699997,0.15851724819132848,0.2953298408306209,0.004145835924517389,0.4465309191985767,0.08925740465687282,0.006218751198083794,1.2505975031959187,0.4940048777295674
2000-01-31,06075031202,06,0667000,Census Tract 312.02,CA,San Francisco County,2846.964602,375.0331726,526.6565552,13.08255196,1502.145386,413.6099243,2455.49441746,0.1317308871127299,0.1849887964290186,0.004595263302820651,0.5276305103845474,0.14528102105991691,0.005773521710966456,1.2215188150043534,0.5772685506428866
2000-01-31,06075025702,06,0667000,Census Tract 257.02,CA,San Francisco County,4364.000127,704.2221069,179.8416748,11.83168888,2419.34375,1001.434143,3612.45125668,0.1613707805696404,0.04121028175212974,0.002711202689201938,0.5543867276793963,0.229476194742558,0.010844812567073592,1.1066026080256885,0.645845123504196
2000-01-31,06075025701,06,0667000,Census Tract 257.01,CA,San Francisco County,4856.999873,783.7778931,200.1583252,13.16831112,2692.65625,1114.565796,4020.54868232,0.16137078723370188,0.04121028009753049,0.0027112026897926174,0.5543867243992411,0.2294761838878887,0.010844821691845197,1.1066026061203722,0.6458451060834536
2000-01-31,06075022704,06,0667000,Census Tract 227.04,CA,San Francisco County,2717,2124.415527,102.7146454,10.86404991,217.2809906,243.9472961,574.80698201,0.7818975071770335,0.03780443334560177,0.003998546157526684,0.07997092035333088,0.08978553408170777,0.006543058884799335,0.7566995383894782,0.28614241420161746
2000-01-31,06075020402,06,0667000,Census Tract 204.02,CA,San Francisco County,4006.320335,3074.562744,125.9774399,32.08859253,434.384491,295.3338928,887.78441623,0.7674280853530401,0.03144467475539497,0.008009492463612499,0.10842480248150203,0.0737169941754046,0.010975950771045961,0.7836986674747906,0.29896763517825825
2000-01-31,06075020401,06,0667000,Census Tract 204.01,CA,San Francisco County,2735.679665,2099.437256,86.02256012,21.91140556,296.615509,201.6660919,606.21556658,0.7674280299919545,0.031444675785898345,0.008009492427177141,0.10842479578105135,0.07371699781962593,0.010976008194292675,0.7836987082485556,0.2989675396010975
2000-01-31,06075017802,06,0667000,Census Tract 178.02,CA,San Francisco County,3375.99993,1251.013916,323.1785889,36.48790359,1397.544678,337.0787354,2094.2899058899998,0.3705610017592625,0.09572825699081103,0.010808028538673579,0.41396466438907775,0.09984559904893127,0.009092449273243819,1.2365679216614012,0.3391789982135623
2000-01-31,06075017801,06,0667000,Census Tract 178.01,CA,San Francisco County,2453.00007,908.986145,234.8214111,26.51209641,1015.455322,244.9212646,1521.7100941100002,0.37056099431746037,0.09572825291439963,0.010808029210533207,0.4139646526793617,0.09984560033053728,0.009092470547707787,1.2365679216510004,0.3391789650877184
