Geo_FIPS,Geo_TRACT,TPOP,NATIVE,FOREIGN,NATURALIZED,NOT_CITIZEN,THH,ENGLISH_ONLY,TSPANISH,SPANISH_LEP,SPANISH_NLEP,TINDOEURO,INDOEURO_LEP,INDOEURO_NLEP,TAPI,API_LEP,API_NLEP,TOTHER,OTHER_LEP,OTHER_NLEP
6075017101,17101,4113,3539,574,342,232,1732,1376,32,0,32,252,0,252,59,0,59,13,0,13
6075017102,17102,4095,3360,735,259,476,1679,1230,125,0,125,203,29,174,121,0,121,0,0,0
6075017601,17601,10343,5755,4588,2956,1632,5919,3175,752,234,518,253,108,145,1596,454,1142,143,0,143
6075017700,17700,1915,1316,599,353,246,726,440,137,3,134,62,6,56,87,0,87,0,0,0
6075017801,17801,3891,1237,2654,2046,608,2453,793,129,5,124,222,43,179,1297,918,379,12,12,0
6075017802,17802,6367,4057,2310,931,1379,2762,1591,369,198,171,282,64,218,503,121,382,17,0,17
6075017902,17902,3008,2253,755,177,578,606,294,80,15,65,79,14,65,87,11,76,66,0,66
6075018000,18000,3457,2535,922,381,541,1406,948,42,0,42,142,23,119,264,16,248,10,0,10
6075020100,20100,6343,4174,2169,885,1284,3280,1995,609,306,303,116,42,74,545,223,322,15,0,15
6075020200,20200,6131,4389,1742,1142,600,3137,2140,351,156,195,328,97,231,269,60,209,49,0,49
6075020300,20300,3548,2848,700,342,358,1820,1295,145,20,125,157,10,147,193,21,172,30,0,30
6075020401,20401,3176,2635,541,332,209,1538,1193,82,0,82,61,0,61,158,0,158,44,0,44
6075020402,20402,4564,3710,854,525,329,2469,1902,306,41,265,90,0,90,171,24,147,0,0,0
6075020500,20500,3046,2498,548,382,166,1400,1099,45,0,45,181,0,181,52,0,52,23,0,23
6075020600,20600,5191,4205,986,546,440,2732,2015,256,0,256,231,36,195,208,0,208,22,0,22
6075020700,20700,4793,3497,1296,481,815,2406,1522,397,169,228,282,0,282,157,33,124,48,0,48
6075020800,20800,6458,4716,1742,906,836,2766,1385,792,278,514,163,19,144,397,91,306,29,0,29
6075020900,20900,4597,2841,1756,713,1043,1882,1046,551,216,335,77,0,77,189,53,136,19,0,19
