Description,Incident #,Location,Agency,Date,street_address,city,state,lat,long
POSSESS CONTROLLED SUBSTANCE FOR SALE,2102534,12300 BLOCK CENTRAL AVE,Chino Police,3/24/2021 5:59,12350 CENTRAL AVE,Chino,CA,34.02873,-117.68941
VANDALISM ($400 OR MORE),2102531,12200 BLOCK CENTRAL AVE,Chino Police,3/24/2021 2:05,12250 CENTRAL AVE,Chino,CA,34.031708,-117.689445
BURGLARY - COMMERCIAL - ATTEMPTED FORCED ENTRY,2102547,11900 BLOCK CENTRAL AVE,Chino Police,3/23/2021 23:30,11950 CENTRAL AVE,Chino,CA,34.03506,-117.689476
PETTY THEFT - SHOPLIFTING,2102553,4000 BLOCK GRAND AVE,Chino Police,3/23/2021 20:48,4050 GRAND AVE,Chino,CA,,
POSS FOR SALE DESIGNATED CONTROLLED SUBSTANCE,2102519,12700 BLOCK YORBA AVE,Chino Police,3/23/2021 14:41,12750 YORBA AVE,Chino,CA,34.021717,-117.70243
POSSESS CONTROLLED SUBSTANCE,2102515,11900 BLOCK CENTRAL AVE,Chino Police,3/23/2021 12:33,11950 CENTRAL AVE,Chino,CA,34.03506,-117.689476
IDENTITY THEFT: USE OTHERS ID WITH INTENT DEFRAUD:WITH PRIOR,2102514,13100 BLOCK YORBA AVE,Chino Police,3/23/2021 12:31,13150 YORBA AVE,Chino,CA,34.01488,-117.702354
PARAPHERNALIA - POSSESS UNLAWFUL,2102509,4500 BLOCK PHILADELPHIA ST,Chino Police,3/23/2021 9:52,4550 PHILADELPHIA ST,Chino,CA,34.0335,-117.7057
POSSESS CONTROLLED SUBSTANCE,2102504,5200 BLOCK SCHAEFER AVE,Chino Police,3/23/2021 2:06,5250 SCHAEFER AVE,Chino,CA,34.004555,-117.690575
PETTY THEFT - FROM MOTOR VEHICLES,2102508,4900 BLOCK ADAMS ST,Chino Police,3/23/2021 0:00,4950 ADAMS ST,Chino,CA,34.039017,-117.69766
