Description,Incident #,Location,Agency,incident_datetime,incident_date,incident_month,incident_day_of_week,incident_time_24hr_clock,time_ampm,street_address,city,state,lat,long
ASSAULT,210850919,3500 BLK OAKLEAF DR,San Jose Police,3/26/2021 22:07,3/26/2021,March,Friday,22:07,PM,3550 OAKLEAF DR,San Jose,CA,37.354244,-121.79727
BURGLARY,210880509,3600 BLK CLAYTON RD,San Jose Police,3/29/2021 14:23,3/29/2021,March,Monday,14:23,PM,3650 CLAYTON RD,San Jose,CA,37.354385,-121.793076
CREDIT CARD,211043210,15 BLK MCCREERY AV,San Jose Police,4/14/2021 12:07,4/14/2021,April,Wednesday,12:07,PM,15 BLK MCCREERY AV,San Jose,CA,37.354393,-121.85163
AGG ASSAULT,210920918,100 BLK MOORE DR,San Jose Police,4/2/2021 20:26,4/2/2021,April,Friday,20:26,PM,150 MOORE DR,San Jose,CA,37.354427,-121.84384
ASSAULT,210811031,FALL AV / OAKLEAF DR,San Jose Police,3/22/2021 22:50,3/22/2021,March,Monday,22:50,PM,FALL AV &  OAKLEAF DR,San Jose,CA,37.354702,-121.79869
ROBBERY,210950073,15 BLK MAGELLAN AV,San Jose Police,4/5/2021 2:54,4/5/2021,April,Monday, 2:54,AM,15 BLK MAGELLAN AV,San Jose,CA,37.354942,-121.85426
ASSAULT,210969505,1900 BLK BEVERLY BL,San Jose Police,4/6/2021 14:29,4/6/2021,April,Tuesday,14:29,PM,1950 BEVERLY BL,San Jose,CA,37.35509,-121.85301
BURGLARY,211050400,1900 BLK ALUM ROCK AV,San Jose Police,4/15/2021 14:31,4/15/2021,April,Thursday,14:31,PM,1950 ALUM ROCK AV,San Jose,CA,37.35526,-121.850334
ASSAULT,210930233,15 BLK VIA DE GUADULPE,San Jose Police,4/3/2021 9:00,4/3/2021,April,Saturday, 9:00,AM,15 BLK VIA DE GUADULPE,San Jose,CA,37.355953,-121.84613
VANDALISM,211053218,2000 BLK ALUM ROCK AV,San Jose Police,4/15/2021 11:05,4/15/2021,April,Thursday,11:05,AM,2050 ALUM ROCK AV,San Jose,CA,37.356136,-121.84849
BURGLARY,210960630,2000 BLK CASTLEBURY DR,San Jose Police,4/6/2021 15:26,4/6/2021,April,Tuesday,15:26,PM,2050 CASTLEBURY DR,San Jose,CA,37.356155,-121.85068
AUTO THEFT,210920559,200 BLK S JACKSON AV,San Jose Police,4/2/2021 14:30,4/2/2021,April,Friday,14:30,PM,250 S JACKSON AV,San Jose,CA,37.36428,-121.84916
ASSAULT,211070229,1500 BLK MOFFO CT,San Jose Police,4/17/2021 9:36,4/17/2021,April,Saturday, 9:36,AM,1550 MOFFO CT,San Jose,CA,37.3121401,-121.8261252
WEAPONS,210810991,1600 BLK S. KING ROAD,San Jose Police,3/22/2021 21:56,3/22/2021,March,Monday,21:56,PM,1650 S. KING ROAD,San Jose,CA,37.3331013,-121.8382703
VANDALISM,210850192,2400 BLK GLEN EXETER WY,San Jose Police,3/26/2021 8:13,3/26/2021,March,Friday, 8:13,AM,2450 GLEN EXETER WY,San Jose,CA,37.331432,-121.8094576
VANDALISM,211019704,2600 BLK S KING RD,San Jose Police,4/11/2021 16:30,4/11/2021,April,Sunday,16:30,PM,2650 S KING RD,San Jose,CA,37.3179084,-121.8234649
VANDALISM,210893217,2600 BLK SAND POINT DR,San Jose Police,3/30/2021 16:28,3/30/2021,March,Tuesday,16:28,PM,2650 SAND POINT DR,San Jose,CA,37.3247162,-121.8069541
FORGERY/FRAUD,211033208,2700 BLK CAMINO ECCO,San Jose Police,4/13/2021 10:31,4/13/2021,April,Tuesday,10:31,AM,2750 CAMINO ECCO,San Jose,CA,37.3132733,-121.8248411
FORGERY/FRAUD,210903223,2700 BLK WHISPERING HILLS CL,San Jose Police,3/31/2021 20:41,3/31/2021,March,Wednesday,20:41,PM,2750 WHISPERING HILLS CL,San Jose,CA,37.31973,-121.8089172
ASSAULT,211040402,2900 BLK E CAPITOL AV,San Jose Police,4/14/2021 16:38,4/14/2021,April,Wednesday,16:38,PM,2950 E CAPITOL AV,San Jose,CA,37.3300865,-121.8135071
PETTY THEFT,210970643,2900 BLK E CAPITOL EX,San Jose Police,4/7/2021 16:04,4/7/2021,April,Wednesday,16:04,PM,2950 E CAPITOL EX,San Jose,CA,37.3300865,-121.8135071
ROBBERY,211050720,2900 BLK E CAPITOL EXPY,San Jose Police,4/15/2021 18:09,4/15/2021,April,Thursday,18:09,PM,2950 E CAPITOL EXPY,San Jose,CA,37.3300865,-121.8135071
VANDALISM,210863222,ABORN RD / E CAPITOL EX,San Jose Police,3/27/2021 10:18,3/27/2021,March,Saturday,10:18,AM,ABORN RD &  E CAPITOL EX,San Jose,CA,37.311565,-121.8104307
NARCOTICS,210950840,ABORN RD/ CAPITOL EX,San Jose Police,4/5/2021 23:13,4/5/2021,April,Monday,23:13,PM,ABORN RD & CAPITOL EX,San Jose,CA,37.311565,-121.8104307
NARCOTICS,210930979,ALVIN AV / FONTAINE RD,San Jose Police,4/3/2021 22:47,4/3/2021,April,Saturday,22:47,PM,ALVIN AV &  FONTAINE RD,San Jose,CA,37.3195095,-121.8301073
ASSAULT,211000945,BERONA WY / OCALA AV,San Jose Police,4/10/2021 22:56,4/10/2021,April,Saturday,22:56,PM,BERONA WY &  OCALA AV,San Jose,CA,37.3387954,-121.825498
DRUNK PUBLIC,210920927,CAPITOL EXPWY / NIEMAN BL,San Jose Police,4/2/2021 20:30,4/2/2021,April,Friday,20:30,PM,CAPITOL EXPWY &  NIEMAN BL,San Jose,CA,37.3164669,-121.8100499
ASSAULT,211010589,CUNNINGHAM AV / CUNNINGHAM CT,San Jose Police,4/11/2021 20:24,4/11/2021,April,Sunday,20:24,PM,CUNNINGHAM AV &  CUNNINGHAM CT,San Jose,CA,37.3398489,-121.8167799
WEAPONS,211000658,CUNNINGHAM AV / HURAN DR,San Jose Police,4/10/2021 17:52,4/10/2021,April,Saturday,17:52,PM,CUNNINGHAM AV &  HURAN DR,San Jose,CA,37.3296959,-121.8318613
NARCOTICS,210880256,E CAPITOL EX / CUNNINGHAM AV,San Jose Police,3/29/2021 9:01,3/29/2021,March,Monday, 9:01,AM,E CAPITOL EX &  CUNNINGHAM AV,San Jose,CA,37.3407498,-121.8286987
NARCOTICS,210850720,E CAPITOL EX / OCALA AV,San Jose Police,3/27/2021 18:13,3/27/2021,March,Saturday,18:13,PM,E CAPITOL EX &  OCALA AV,San Jose,CA,37.3407502,-121.8221326
ASSAULT,210960099,E CAPITOL EX / TULLY RD,San Jose Police,4/6/2021 3:13,4/6/2021,April,Tuesday, 3:13,AM,E CAPITOL EX &  TULLY RD,San Jose,CA,37.3311167,-121.8150096
