Description,Incident #,Location,Agency,incident_datetime,incident_date,incident_month,incident_day_of_week,incident_time_24hr_clock,time_ampm,street_address,city,state,postalcode,lat,long
AUTO THEFT,GO 202156549,800 BLK TRUXTUN AV,Bakersfield Police,3/25/2021 23:45,3/25/2021,March,Thursday,23:45,PM,850 TRUXTUN AV,Bakersfield,CA,93301,35.373318,-119.01119
THEFT-BICYCLE,GO 202164770,1200 BLK TRUXTUN AV,Bakersfield Police,4/6/2021 18:54,4/6/2021,April,Tuesday,18:54,PM,1250 TRUXTUN AV,Bakersfield,CA,93301,35.373333,-119.015854
THEFT-BICYCLE,GO 202164423,1400 BLK TRUXTUN AV,Bakersfield Police,4/6/2021 9:44,4/6/2021,April,Tuesday, 9:44,AM,1450 TRUXTUN AV,Bakersfield,CA,93301,35.37334,-119.01821
DRUG-AMPHETAMINE-POSSESSION,GO 202159523,1400 BLK TRUXTUN AV,Bakersfield Police,3/30/2021 10:38,3/30/2021,March,Tuesday,10:38,AM,1450 TRUXTUN AV,Bakersfield,CA,93301,35.37334,-119.01821
AUTO THEFT,GO 202158616,2200 BLK TRUXTUN AV,Bakersfield Police,3/29/2021 0:20,3/29/2021,March,Monday, 0:20,AM,2250 TRUXTUN AV,Bakersfield,CA,93301,35.373375,-119.02762
THEFT-CATALYTIC CONVERTER,GO 202163163,1600 BLK EYE ST,Bakersfield Police,4/3/2021 18:57,4/3/2021,April,Saturday,18:57,PM,1650 EYE ST,Bakersfield,CA,93301,35.37342,-119.020035
THEFT,GO 2021802280,1600 BLK CHESTER AV,Bakersfield Police,3/31/2021 12:44,3/31/2021,March,Wednesday,12:44,PM,1650 CHESTER AV,Bakersfield,CA,93301,35.373844,-119.01881
BURG-VEH (THEFT OF NON-PARTS),GO 2021802487,200 BLK EUREKA ST,Bakersfield Police,4/9/2021 17:00,4/9/2021,April,Friday,17:00,PM,250 EUREKA ST,Bakersfield,CA,93301,35.374313,-119.00115
THEFT-FROM UNLOCKED VEHICLE,GO 202164510,1900 BLK 17TH ST,Bakersfield Police,4/6/2021 10:00,4/6/2021,April,Tuesday,10:00,AM,1950 17TH ST,Bakersfield,CA,93301,35.37436,-119.024124
DRUG-AMPHETAMINE-POSSESSION,GO 202168692,1700 BLK UNION AV,Bakersfield Police,4/12/2021 10:35,4/12/2021,April,Monday,10:35,AM,1750 UNION AV,Bakersfield,CA,93301,35.374912,-119.0029
BURG-VEH (THEFT OF NON-PARTS),GO 202163603,100 BLK E 18TH ST,Bakersfield Police,4/4/2021 22:30,4/4/2021,April,Sunday,22:30,PM,150 E 18TH ST,Bakersfield,CA,93301,35.375237,-119.003456
AGG ASSAULT-WEAPON,GO 202153700,200 BLK E 18TH ST,Bakersfield Police,3/22/2021 2:20,3/22/2021,March,Monday, 2:20,AM,250 E 18TH ST,Bakersfield,CA,93301,35.37524,-119.004265
AUTO THEFT,GO 202157321,300 BLK E 18TH ST,Bakersfield Police,3/26/2021 23:00,3/26/2021,March,Friday,23:00,PM,350 E 18TH ST,Bakersfield,CA,93301,35.375244,-119.00561
ASSAULT-SIMPLE,GO 202164351,1600 BLK 18TH ST,Bakersfield Police,4/6/2021 8:15,4/6/2021,April,Tuesday, 8:15,AM,1650 18TH ST,Bakersfield,CA,93301,35.375298,-119.02062
BURG-VEH (THEFT OF NON-PARTS),GO 202158293,1600 BLK 18TH ST,Bakersfield Police,3/27/2021 22:00,3/27/2021,March,Saturday,22:00,PM,1650 18TH ST,Bakersfield,CA,93301,35.375298,-119.02062
AUTO THEFT,GO 202157428,1700 BLK 18TH ST,Bakersfield Police,3/26/2021 20:20,3/26/2021,March,Friday,20:20,PM,1750 18TH ST,Bakersfield,CA,93301,35.375305,-119.02179
THEFT,GO 202170689,1800 BLK 18TH ST,Bakersfield Police,4/15/2021 4:20,4/15/2021,April,Thursday, 4:20,AM,1850 18TH ST,Bakersfield,CA,93301,35.37531,-119.02295
WEAPON-POSSESS MISD,GO 202169162,1800 BLK 18TH ST,Bakersfield Police,4/12/2021 22:29,4/12/2021,April,Monday,22:29,PM,1850 18TH ST,Bakersfield,CA,93301,35.37531,-119.02295
BURGLARY-FORCED-BUSINESS,GO 202169276,2100 BLK 18TH ST,Bakersfield Police,4/12/2021 17:00,4/12/2021,April,Monday,17:00,PM,2150 18TH ST,Bakersfield,CA,93301,35.37532,-119.02644
BURGLARY-FORCED-RESIDENCE,GO 202165927,2300 BLK 18TH ST,Bakersfield Police,4/8/2021 12:15,4/8/2021,April,Thursday,12:15,PM,2350 18TH ST,Bakersfield,CA,93301,35.375328,-119.02877
BURG-VEH (THEFT OF NON-PARTS),GO 202167835,1800 BLK M ST,Bakersfield Police,4/10/2021 22:50,4/10/2021,April,Saturday,22:50,PM,1850 M ST,Bakersfield,CA,93301,35.375504,-119.01526
AUTO THEFT,GO 202167973,100 BLK 19TH ST,Bakersfield Police,4/10/2021 23:00,4/10/2021,April,Saturday,23:00,PM,150 19TH ST,Bakersfield,CA,93301,35.37619,-119.00345
ASSAULT-SIMPLE,GO 202166115,100 BLK 19TH ST,Bakersfield Police,4/8/2021 17:10,4/8/2021,April,Thursday,17:10,PM,150 19TH ST,Bakersfield,CA,93301,35.37619,-119.00345
AUTO THEFT,GO 202154492,500 BLK E 19TH ST,Bakersfield Police,3/22/2021 16:00,3/22/2021,March,Monday,16:00,PM,550 E 19TH ST,Bakersfield,CA,93301,35.376198,-119.00731
BURGLARY-FORCED-BUSINESS,GO 202154492,500 BLK E 19TH ST,Bakersfield Police,3/22/2021 16:00,3/22/2021,March,Monday,16:00,PM,550 E 19TH ST,Bakersfield,CA,93301,35.376198,-119.00731
AGG ASSAULT-WEAPON,GO 202159475,600 BLK 19TH ST,Bakersfield Police,3/30/2021 9:19,3/30/2021,March,Tuesday, 9:19,AM,650 19TH ST,Bakersfield,CA,93301,35.376198,-119.00868
THEFT-CATALYTIC CONVERTER,GO 202168610,600 BLK E 19TH ST,Bakersfield Police,4/10/2021 19:30,4/10/2021,April,Saturday,19:30,PM,650 E 19TH ST,Bakersfield,CA,93301,35.376198,-119.0087
ASSAULT-SIMPLE,GO 202168022,1100 BLK 19TH ST,Bakersfield Police,4/11/2021 10:30,4/11/2021,April,Sunday,10:30,AM,1150 19TH ST,Bakersfield,CA,93301,35.376217,-119.01469
ASSAULT-SIMPLE,GO 202161383,1100 BLK 19TH ST,Bakersfield Police,4/1/2021 20:00,4/1/2021,April,Thursday,20:00,PM,1150 19TH ST,Bakersfield,CA,93301,35.376217,-119.01469
THEFT,GO 202154603,1100 BLK 19TH ST,Bakersfield Police,3/22/2021 21:00,3/22/2021,March,Monday,21:00,PM,1150 19TH ST,Bakersfield,CA,93301,35.376217,-119.01469
ROBBERY-BUSINESS-ID WEAPON,GO 202161535,1200 BLK 19TH ST,Bakersfield Police,4/2/2021 2:00,4/2/2021,April,Friday, 2:00,AM,1250 19TH ST,Bakersfield,CA,93301,35.37622,-119.01585
